
INFO   | jvm 5    | 2014/12/02 23:43:08 | 	at java.net.AbstractPlainSocketImpl.connectToAddress(AbstractPlainSocketImpl.java:206) ~[na:1.8.0_25]
INFO   | jvm 5    | 2014/12/02 23:43:08 | 	at java.net.AbstractPlainSocketImpl.connect(AbstractPlainSocketImpl.java:188) ~[na:1.8.0_25]
INFO   | jvm 5    | 2014/12/02 23:43:08 | 	at java.net.SocksSocketImpl.connect(SocksSocketImpl.java:392) ~[na:1.8.0_25]
INFO   | jvm 5    | 2014/12/02 23:43:08 | 	at java.net.Socket.connect(Socket.java:589) ~[na:1.8.0_25]
INFO   | jvm 5    | 2014/12/02 23:43:08 | 	at java.net.Socket.connect(Socket.java:538) ~[na:1.8.0_25]
INFO   | jvm 5    | 2014/12/02 23:43:08 | 	at java.net.Socket.<init>(Socket.java:434) ~[na:1.8.0_25]
INFO   | jvm 5    | 2014/12/02 23:43:08 | 	at java.net.Socket.<init>(Socket.java:244) ~[na:1.8.0_25]
INFO   | jvm 5    | 2014/12/02 23:43:08 | 	at com.mysql.jdbc.StandardSocketFactory.connect(StandardSocketFactory.java:259) ~[mysql-connector-java-5.1.24.jar:na]
INFO   | jvm 5    | 2014/12/02 23:43:08 | 	at com.mysql.jdbc.MysqlIO.<init>(MysqlIO.java:305) ~[mysql-connector-java-5.1.24.jar:na]
INFO   | jvm 5    | 2014/12/02 23:43:08 | 	... 30 common frames omitted
STATUS | wrapper  | 2014/12/02 23:43:10 | <-- Wrapper Stopped
STATUS | wrapper  | 2014/12/02 23:43:47 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2014/12/02 23:43:47 | Java Service Wrapper Community Edition 64-bit 3.3.6
STATUS | wrapper  | 2014/12/02 23:43:47 |   Copyright (C) 1999-2009 Tanuki Software, Ltd.  All Rights Reserved.
STATUS | wrapper  | 2014/12/02 23:43:47 |     http://wrapper.tanukisoftware.org
STATUS | wrapper  | 2014/12/02 23:43:47 | 
STATUS | wrapper  | 2014/12/02 23:43:47 | Launching a JVM...
INFO   | jvm 1    | 2014/12/02 23:43:47 | WrapperManager: Initializing...
INFO   | jvm 1    | 2014/12/02 23:43:48 | 23:43:48.140 [WrapperSimpleAppMain] INFO  rebat-db - Checking schema...
INFO   | jvm 1    | 2014/12/02 23:43:48 | 23:43:48.933 [WrapperSimpleAppMain] INFO  rebat-db - Schema OK!
INFO   | jvm 1    | 2014/12/02 23:43:49 | 23:43:49.083 [WrapperSimpleAppMain] INFO  rebat-db - Listening on port 2011 ...
STATUS | wrapper  | 2014/12/10 09:35:48 | --> Wrapper Started as Console
STATUS | wrapper  | 2014/12/10 09:35:48 | Java Service Wrapper Community Edition 64-bit 3.3.6
STATUS | wrapper  | 2014/12/10 09:35:48 |   Copyright (C) 1999-2009 Tanuki Software, Ltd.  All Rights Reserved.
STATUS | wrapper  | 2014/12/10 09:35:48 |     http://wrapper.tanukisoftware.org
STATUS | wrapper  | 2014/12/10 09:35:48 | 
STATUS | wrapper  | 2014/12/10 09:35:48 | Launching a JVM...
